FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17099,Illinois,LaSalle,112498,23.5,16,1.8,0.2,0.8,0,7.6,105338,2940,2.8,50.5,30.3,9,7,11,93763,69,421,23,18,29,26,21,31,9,112732,8,12526:1,49617,46638,52596,12678,44085,29,26,85683,8.8,4.2,15.9,112732,10,9,43692,52600,83
17101,Illinois,Lawrence,16408,18.6,17.3,9,0.2,0.2,0,2.2,15747,215,1.4,46.6,49.1,9,7,11,14668,116,60,,,,27,21,35,1,16525,6,16525:1,38999,34359,43639,1465,5983,25,31,12672,9.1,4.3,16.5,16525,4,24,5046,5994,84
17103,Illinois,Lee,34919,21.9,15.5,4.4,0.1,0.9,0,4.6,33058,389,1.2,49,44,9,7,11,30006,190,131,,,,26,20,33,9,35075,26,3897:01:00,50391,45516,55266,3571,13361,27,25,26149,8.5,4,15.4,35075,3,9,12826,16342,79
17105,Illinois,Livingston,37777,24.2,15.8,5.3,0.2,0.4,0,3.2,35633,480,1.3,50.2,41.2,9,7,11,31579,706,164,24,16,33,28,22,34,3,37834,8,12611:1,50972,46332,55612,3571,14048,25,25,28075,9.8,4.6,17.8,37834,4,11,13439,16524,81
17107,Illinois,Logan,29776,19.9,15.4,7.3,0.2,0.8,0,1.9,28373,152,0.5,49.6,41.4,8,7,10,25664,429,99,,,,27,22,35,4,29907,13,7477:01:00,52525,47922,57128,2385,10573,23,28,21697,9.2,4.4,16.4,29907,0,0,9885,12483,79
17109,Illinois,McDonough,32770,15.3,13.5,5,0.2,3,0,2,31509,468,1.5,51.1,31.5,8,6,9,29516,34,130,19,11,31,26,21,33,7,32787,21,4684:01:00,39874,36156,43592,4876,12599,39,33,23834,7.8,3.6,14.6,32787,4,12,10583,14419,73
17111,Illinois,McHenry,320961,26.8,10.8,1.3,0.2,2.7,0,11.3,291030,18053,6.2,49.7,12.2,7,6,8,254515,34,884,19,16,23,23,19,27,76,318118,24,4186:01:00,79656,76482,82830,40697,105424,39,11,213936,7.8,4.8,12.7,318118,29,9,126533,155167,82
17113,Illinois,McLean,167699,22.7,10.2,7.4,0.2,3.1,0,3.7,152855,3201,2.1,51.4,23.1,7,6,9,136720,78,552,13,10,18,24,19,28,59,165571,36,2806:01:00,58474,55424,61524,18091,61239,30,21,115210,6.3,2.9,11.5,165571,8,5,64764,82831,78
17115,Illinois,Macon,108204,22.7,16.3,15,0.2,1,0,1.4,101869,892,0.9,52.2,15.9,9,8,11,91149,131,354,15,10,20,27,22,32,9,108326,8,12036:1,45664,43557,47771,11503,44835,26,7,84740,9,4.3,16.3,108326,11,10,41943,48638,86
17117,Illinois,Macoupin,47774,22.2,17.1,1.1,0.3,0.3,0,0.9,45367,359,0.8,50.8,58.4,9,7,11,40877,22,189,20,12,31,26,20,32,1,48150,2,48150:1,45009,41281,48737,4735,18934,25,28,38260,7.6,3.6,14,48150,1,2,18795,22334,84
